180207_FD00826632	Adelaide
180207_FD00826633	Al
180207_FD00826634	Atareta
180207_FD00826635	Attenborough
180207_FD00826636	Aumaria
180207_FD00826637	Awarua
180207_FD00826638	Awhero
180207_FD00826639	Barnard
180207_FD00826640	Boomer
180207_FD00826641	Clout
180207_FD00826642	Doc
180207_FD00826643	Dusky
180207_FD00826644	Egilsay
180207_FD00826645	Elliott
180207_FD00826646	Elwin
180207_FD00826647	Faulkner
180207_FD00826648	Fuchsia
180207_FD00826649	Guapo
180207_FD00826650	Hakatere
180207_FD00826651	Hananui
180207_FD00826652	Henry
180207_FD00826653	Hera
180207_FD00826654	Hinemoa
180207_FD00826655	Hokonui
180207_FD00826656	Horton
180207_FD00826657	Hugh
180207_FD00826658	Hurihuri
180207_FD00826659	Ian
180207_FD00826660	Ihi
180207_FD00826661	Jack
180207_FD00826662	Jamieson
180207_FD00826663	Jester
180207_FD00826664	Kanawera
180207_FD00826665	Kokoto
180207_FD00826666	Komaru
180207_FD00826667	Konini 3-4-16
180207_FD00826668	Kotiu
180207_FD00826669	Kura
180207_FD00826670	Lee
180207_FD00826671	Maestro
180207_FD00826672	Mahli
180207_FD00826673	Makorea
180207_FD00826674	Manu
180207_FD00826675	Marama
180207_FD00826676	Marian
180207_FD00826677	Matangi
180207_FD00826678	Mila
180207_FD00826679	Millie
180207_FD00826680	Moorhouse
180207_FD00826681	Morehu
180207_FD00826682	Moss
180207_FD00826683	Mukeke
180207_FD00826684	Ngatapa
180207_FD00826685	Ninihi
180207_FD00826686	Oraka
180207_FD00826687	Paddy
180207_FD00826688	Palmersan
180207_FD00826689	Percy
180207_FD00826690	Punga
180207_FD00826691	Pura
180207_FD00826692	Ra
180207_FD00826693	Rimu
180207_FD00826694	Robbie
180207_FD00826695	Roha
180207_FD00826696	Ruapuke
180207_FD00826697	Ruggedy
180207_FD00826698	Scratch
180207_FD00826699	Takitimu
180207_FD00826700	Tamahou
180207_FD00826701	Tau Kuhurangi
180207_FD00826702	Te Atapo
180207_FD00826703	Te Awa
180207_FD00826704	Te Here
180207_FD00826705	Te Kingi
180207_FD00826706	Tia
180207_FD00826707	Tiaka
180207_FD00826708	Titapu
180207_FD00826709	Tiwhiri
180207_FD00826710	Tohu
180207_FD00826711	Toitiiti
180207_FD00826712	Trevor
180207_FD00826713	Tukaha
180207_FD00826714	Tuterangi
180207_FD00826715	Tutoko
180207_FD00826716	Waa
180207_FD00826717	Waihopai
180207_FD00826718	Weheruatanga-o-te-po
180207_FD00826719	Wharetutu
180207_FD00826720	Wolf
180207_FD00826721	Yasmine
2317-01-04-01	Aparima
2317-02-04-01	Aranga
2317-03-04-01	Ariki
2317-04-04-01	Basil
2317-05-04-01	Blake
2317-06-04-01	Bluster Murphy
2317-07-04-01	Dobbie
2317-08-04-01	Ellie
2317-09-04-01	Esperance
2317-10-04-01	Evohe
2317-11-04-01	George
2317-12-04-01	Hauturu
2317-13-04-01	Hillary
2317-14-04-01	Hine Taumai
2317-15-04-01	Hoki
2317-16-04-01	Huhana
2317-17-04-01	Jean
2317-18-04-01	JEM
2317-19-04-01	Jemma
2317-20-04-01	Joe
2317-21-04-01	Juanma
2317-22-04-01	Konini
2317-23-04-01	Gertrude
2317-24-04-01	Kuihi
2317-25-04-01	Kumi
2317-26-04-01	Ox
2317-27-04-01	Pearl
2317-28-04-01	Piripi
2317-29-04-01	Pounamu
2317-30-04-01	Queenie
2317-31-04-01	Rakiura
2317-42-04-01	Sarah
2317-32-04-01	Sirocco
2317-33-04-01	Stella
2317-34-04-01	Stumpy
2317-35-04-01	Taeatanga
2317-36-04-01	Tiwai
2317-37-04-01	Tumeke
2317-38-04-01	Waikawa
2317-39-04-01	Wendy
2317-40-04-01	Wiremu
2317-41-04-01	Zephyr
1983-01-4-1	Alice
1983-02-4-1	Arab
1983-03-4-1	Bella
1983-04-4-1	Ben
1983-05-4-1	Bill
1983-06-4-1	Blades
1983-07-4-1	Bonus
1983-08-4-1	Boss
1983-09-4-1	Cyndy
1983-10-4-1	Felix
1983-11-4-1	Flossie
1983-12-4-1	Gulliver
1983-13-4-1	Gumboots
1983-14-4-1	Gunner
1983-15-4-1	Heather
1983-16-4-1	Jimmy
1983-17-4-1	Kuia
1983-18-4-1	Lionel
1983-19-4-1	Lisa
1983-20-4-1	Luke
1983-21-4-1	Maggie
1983-22-4-1	Merty
1983-23-4-1	Merv
1983-24-4-1	Margaret-Maree
1983-25-4-1	Nog
1983-26-4-1	Nora
1983-27-4-1	Ralph
1983-28-4-1	Rangi
1983-29-4-1	Richard Henry
1983-30-4-1	Ruth
1983-31-4-1	Sandra
1983-32-4-1	Sarah
1983-33-4-1	Sass
1983-34-4-1	Sinbad
1983-35-4-1	Smoko
1983-36-4-1	Solstice
1983-37-4-1	Sue
1983-38-4-1	Suzanne
1983-39-4-1	Waynebo
1983-40-4-1	Whiskas
